open_time,FutOpen,FutHigh,FutLow,FutClose,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,file_date
1609459200000,28948.19,29668.86,28627.12,29337.16,210716.398,1609545599999,6157505024.08511,1511793,101247.902,2960175587.62208,0,2021-01-01
1609545600000,29337.15,33480.0,28958.24,32199.91,545541.08,1609631999999,17122938614.7061,3514545,273388.463,8578964529.70894,0,2021-01-02
1609632000000,32198.41,34832.25,32000.02,33054.53,487486.989,1609718399999,16389111411.5276,3325307,238761.657,8029365512.72767,0,2021-01-03
1609718400000,33053.93,33653.56,27800.0,32031.07,506128.023,1609804799999,15879195836.25302,3470951,242947.199,7626162910.4066,0,2021-01-04
1609804800000,32029.55,34500.0,29900.0,33999.52,433720.833,1609891199999,13959353458.55198,3077140,214417.082,6904989558.83828,0,2021-01-05
1609891200000,33999.51,37037.51,33356.46,36823.68,444019.83,1609977599999,15515216052.16546,3343780,221236.888,7735680984.28917,0,2021-01-06
1609977600000,36825.77,40565.62,36337.36,39498.92,520147.908,1610063999999,19955559504.79166,3936708,257944.968,9900486395.62111,0,2021-01-07
1610064000000,39498.32,42125.51,36539.77,40637.23,518080.826,1610150399999,20667265854.49486,4247011,254344.167,10152865266.04328,0,2021-01-08
1610150400000,40638.91,41539.88,38733.28,40136.04,260882.805,1610236799999,10520523013.40685,2489926,126105.315,5086880791.19798,0,2021-01-09
1610236800000,40136.05,41412.12,35268.0,38221.67,436759.048,1610323199999,17027093434.55105,3699058,211717.223,8261995935.20996,0,2021-01-10
1610323200000,38200.01,38322.18,30448.0,35408.46,906275.651,1610409599999,30742156595.35393,7483656,443696.59,15052872048.13838,0,2021-01-11
1610409600000,35406.92,36693.44,32600.0,34056.9,449065.693,1610495999999,15590695938.85224,4292644,222279.828,7719925265.67209,0,2021-01-12
1610496000000,34065.53,37880.0,32420.0,37421.07,398188.088,1610582399999,13803091615.05157,3801367,199377.684,6916994865.68764,0,2021-01-13
1610582400000,37416.34,40189.39,36764.33,39163.31,353142.386,1610668799999,13663753723.40309,3501513,175843.746,6805766674.20038,0,2021-01-14
1610668800000,39163.31,39790.0,34478.0,36755.24,437610.113,1610755199999,16148530126.35195,4212641,215685.402,7958729167.12342,0,2021-01-15
1610755200000,36755.25,38000.0,35366.0,36025.66,301102.477,1610841599999,11103654689.8084,3011057,146509.381,5406319579.73528,0,2021-01-16
1610841600000,36025.65,36898.0,33863.5,35869.83,287686.129,1610927999999,10206002445.01776,2832554,142749.218,5067322177.93342,0,2021-01-17
1610928000000,35875.72,37547.94,34808.47,36686.86,253386.703,1611014399999,9167208119.70183,2509593,126929.278,4593293225.33017,0,2021-01-18
1611014400000,36690.0,37961.0,35850.0,35891.03,257889.419,1611100799999,9530202433.37249,2463060,127747.175,4722978204.94744,0,2021-01-19
1611100800000,35891.74,36461.44,33403.0,35500.0,329192.419,1611187199999,11521126165.52288,3069181,160202.354,5609941255.6082,0,2021-01-20
1611187200000,35499.23,35636.17,30069.9,30879.97,550562.277,1611273599999,17863845664.01804,4767974,269649.681,8750951225.90137,0,2021-01-21
1611273600000,30875.77,33831.52,28880.0,32986.34,453568.538,1611359999999,14265924156.72767,4072699,225783.671,7105649881.87084,0,2021-01-22
1611360000000,32990.08,33495.0,31405.0,32086.48,256776.411,1611446399999,8300485557.20308,2533905,126744.171,4098792684.45926,0,2021-01-23
1611446400000,32086.48,33125.75,30914.2,32275.63,212107.044,1611532799999,6824806447.15319,2205550,106443.006,3426090935.55021,0,2021-01-24
1611532800000,32274.88,34880.0,31921.47,32253.68,316687.524,1611619199999,10588161978.70822,2871028,157598.395,5269771249.60753,0,2021-01-25
1611619200000,32253.68,32950.0,30810.0,32474.14,346861.707,1611705599999,11060562208.1513,3088089,172363.344,5498592866.30905,0,2021-01-26
1611705600000,32474.81,32562.2,29240.0,30381.04,431022.839,1611791999999,13269633440.99824,3665833,213394.744,6569777789.60455,0,2021-01-27
1611792000000,30382.96,33778.95,29843.33,33399.75,311528.373,1611878399999,9909261735.25709,2824829,158511.479,5044260580.57025,0,2021-01-28
1611878400000,33399.99,38641.1,31960.0,34269.35,713579.785,1611964799999,25293550971.74301,5920737,355439.304,12607381324.40294,0,2021-01-29
1611964800000,34267.04,34988.88,32849.06,34289.85,267861.872,1612051199999,9109013883.23461,2754794,133627.383,4545355581.08445,0,2021-01-30
1612051200000,34284.76,34393.22,32193.04,33126.21,211293.891,1612137599999,7052326918.52193,2233259,103318.718,3448995451.58184,0,2021-01-31
1612137600000,33125.11,34720.0,32322.47,33546.09,240632.325,1612223999999,8121385637.13714,2421173,122660.726,4140348904.80228,0,2021-02-01
1612224000000,33546.08,36041.0,33450.0,35504.06,239856.23,1612310399999,8364687573.37923,2345193,123537.063,4307892154.68184,0,2021-02-02
1612310400000,35504.07,37700.0,35410.0,37652.51,240308.078,1612396799999,8788925454.96376,2331826,121022.039,4426236187.28981,0,2021-02-03
1612396800000,37651.92,38833.0,36233.0,36976.93,306715.022,1612483199999,11507154016.35826,2825262,150086.367,5633298481.01459,0,2021-02-04
1612483200000,36975.19,38411.82,36586.68,38362.65,196277.444,1612569599999,7395595524.77548,2144343,97203.231,3663358803.14247,0,2021-02-05
1612569600000,38357.17,40992.4,38269.0,39249.54,310826.315,1612655999999,12369698321.04784,3050313,154728.277,6158712068.9744,0,2021-02-06
